Speed_kmh,RPM,Throttle,Brake,Steering,Gear,lap_id,iCurrentTime_ms,CarX,CarY,CarZ,Distance
287.66,11489,1.0,0.0,0.008,7,1,81,-206.1363983154297,-8.420182228088379,406.42877197265625,686.508
288.53,11516,1.0,0.0,0.005,7,1,183,-205.51026916503903,-8.382210731506348,398.2893371582031,694.773
289.39,11542,1.0,0.0,0.006,7,1,288,-204.8505859375,-8.338053703308105,390.1281433105469,702.969
290.22,11562,1.0,0.0,0.003,7,1,381,-204.20594787597656,-8.302705764770508,382.4273986816406,710.482
291.04,11607,1.0,0.0,0.002,7,1,486,-203.4785919189453,-8.2572603225708,373.9820861816406,719.091
291.82,11663,1.0,0.0,0.005,7,1,588,-202.7534637451172,-8.21622371673584,365.7557678222656,727.396
292.61,11718,1.0,0.0,0.006,7,1,687,-202.0304107666016,-8.177862167358398,357.7505798339844,735.207
293.44,11704,1.0,0.0,0.007,7,1,789,-201.26382446289065,-8.1425142288208,349.48211669921875,743.55
294.24,11718,1.0,0.0,0.004,7,1,888,-200.49449157714844,-8.109652519226074,341.4373474121094,751.472
295.01,11756,1.0,0.0,-0.001,7,1,990,-199.6761932373047,-8.070250511169434,333.12896728515625,760.057
295.78,11816,1.0,0.0,0.002,7,1,1089,-198.8654937744141,-8.020109176635742,325.0450134277344,768.195
296.59,11844,1.0,0.0,0.0,7,1,1191,-198.01931762695312,-7.978104114532471,316.6947937011719,776.559
297.38,11862,1.0,0.0,0.0,7,1,1290,-197.19464111328125,-7.940071582794189,308.5687255859375,784.65
298.15,11884,1.0,0.0,0.0,7,1,1395,-196.3165740966797,-7.89903450012207,299.9276428222656,793.428
298.91,11906,1.0,0.0,0.001,7,1,1491,-195.5097503662109,-7.858049392700195,292.0074768066406,801.411
299.66,11931,1.0,0.0,0.002,7,1,1596,-194.62057495117188,-7.808411121368408,283.32330322265625,810.074
300.38,11964,1.0,0.0,-0.001,7,1,1695,-193.7731475830078,-7.7622389793396,275.1160888671875,818.46
301.11,11998,1.0,0.0,-0.0,7,1,1794,-192.91783142089844,-7.71910285949707,266.8890075683594,826.721
301.79,12024,1.0,0.0,-0.001,7,1,1893,-192.0570678710937,-7.672938823699951,258.6434326171875,834.951
302.44,12026,1.0,0.0,-0.002,7,1,1995,-191.16964721679688,-7.631330966949463,250.1296539306641,843.461
303.03,12103,1.0,0.0,-0.003,7,1,2097,-190.2856292724609,-7.588455677032471,241.5975646972656,852.098
303.75,12142,1.0,0.0,-0.001,7,1,2196,-189.4330444335937,-7.53571081161499,233.2965240478516,860.322
304.15,10809,1.0,0.0,-0.001,8,1,2298,-188.558349609375,-7.489943504333496,224.73036193847656,868.914
304.57,10821,1.0,0.0,-0.003,8,1,2397,-187.7135772705078,-7.44678783416748,216.4032592773437,877.284
305.0,10829,1.0,0.0,-0.003,8,1,2499,-186.85191345214844,-7.3973069190979,207.810791015625,886.082
305.42,10846,1.0,0.0,-0.003,8,1,2598,-186.02667236328125,-7.353356838226318,199.45834350585932,894.381
305.84,10866,1.0,0.0,-0.002,8,1,2700,-185.1899261474609,-7.299999237060547,190.83950805664065,903.054
306.23,10910,1.0,0.0,-0.003,8,1,2802,-184.3645172119141,-7.246767520904541,182.2075042724609,911.651
