Speed_kmh,RPM,Throttle,Brake,Steering,Gear,lap_id,iCurrentTime_ms,CarX,CarY,CarZ,Distance
245.59,11250,1.0,0.0,0.01,6,0,119454,-208.63845825195312,-9.99274444580078,685.7144165039062,0.0
247.34,11381,1.0,0.0,0.01,6,0,119553,-209.1166839599609,-9.953897476196287,678.9531860351562,6.858
249.21,11434,1.0,0.0,0.008,6,0,119658,-209.5860748291016,-9.914361953735352,671.725341796875,13.883
250.96,11516,1.0,0.0,0.01,6,0,119754,-209.97901916503903,-9.874519348144531,665.0672607421875,20.72
252.72,11586,1.0,0.0,0.007,6,0,119856,-210.3638610839844,-9.842612266540527,657.9424438476562,27.88
254.49,11626,1.0,0.0,0.008,6,0,119958,-210.7158966064453,-9.811511039733888,650.7653198242188,34.99
255.98,11852,1.0,0.0,0.011,6,0,120060,-211.0350341796875,-9.767558097839355,643.5386352539062,42.115
257.75,11855,1.0,0.0,0.009,6,0,120159,-211.31591796875,-9.7406644821167,636.4771118164062,49.252
259.36,11864,1.0,0.0,0.012,6,0,120261,-211.57156372070312,-9.70326805114746,629.1539306640625,56.438
260.84,12033,1.0,0.0,0.012,6,0,120360,-211.7848052978516,-9.633524894714355,622.0027465820312,63.637
262.37,12074,1.0,0.0,0.01,6,0,120459,-211.96722412109372,-9.573563575744627,614.8091430664062,71.072
263.84,12065,1.0,0.0,0.008,6,0,120558,-212.1171112060547,-9.520716667175291,607.5753784179688,78.277
265.2,12136,1.0,0.0,0.005,6,0,120660,-212.24041748046875,-9.462824821472168,600.0816650390625,85.547
266.16,10622,1.0,0.0,0.005,7,0,120759,-212.3377227783203,-9.409124374389648,592.7786865234375,92.931
267.14,10698,1.0,0.0,0.005,7,0,120864,-212.41966247558597,-9.351000785827637,585.001953125,100.659
268.17,10734,1.0,0.0,0.004,7,0,120963,-212.47750854492188,-9.301194190979004,577.6403198242188,108.057
269.21,10776,1.0,0.0,0.005,7,0,121065,-212.51760864257807,-9.254343032836914,570.0261840820312,115.63
