Distance,Timestamp,Speed_kmh,RPM,Throttle,Brake,Steering,Gear,CompletedLaps,iCurrentTime_ms,CurrentLapTime_str,iLastTime_ms,iBestTime_ms,LapNumberTotal,CurrentSectorIndex,LastSectorTime_ms,IsInPit,IsInPitLane,TyreCompound,X,Y,Z,Flag,SurfaceGrip
0.0,1757772996,307.89,10946,1.0,0.0,0.007,8,1,69,0:00.069,82160,82160,0,0,25713,False,False,Soft (S),-205.2242126464844,-8.411717414855957,407.0369567871094,0,1.0
8.729,1757772997,308.29,10958,1.0,0.0,0.006,8,1,168,0:00.168,82160,82160,0,0,25713,False,False,Soft (S),-204.53370666503903,-8.370491981506348,398.5919189453125,0,1.0
17.173,1757772997,308.73,10954,1.0,0.0,0.006,8,1,267,0:00.267,82160,82160,0,0,25713,False,False,Soft (S),-203.80880737304688,-8.326482772827148,390.13861083984375,0,1.0
25.81,1757772997,309.12,10959,1.0,0.0,0.004,8,1,369,0:00.369,82160,82160,0,0,25713,False,False,Soft (S),-203.03372192382807,-8.284953117370605,381.4205627441406,0,1.0
34.611,1757772997,309.5,10987,1.0,0.0,0.013,8,1,471,0:00.471,82160,82160,0,0,25713,False,False,Soft (S),-202.23675537109372,-8.236307144165039,372.6928405761719,0,1.0
43.281,1757772997,309.9,10984,1.0,0.0,0.004,8,1,573,0:00.573,82160,82160,0,0,25713,False,False,Soft (S),-201.41943359375,-8.193380355834961,363.9559631347656,0,1.0
51.99,1757772997,310.28,10998,1.0,0.0,0.003,8,1,672,0:00.672,82160,82160,0,0,25713,False,False,Soft (S),-200.60397338867188,-8.150486946105957,355.4674987792969,0,1.0
60.449,1757772997,310.64,11025,1.0,0.0,0.005,8,1,771,0:00.771,82160,82160,0,0,25713,False,False,Soft (S),-199.7610015869141,-8.109137535095215,346.9715576171875,0,1.0
69.183,1757772997,311.03,11029,1.0,0.0,0.003,8,1,873,0:00.873,82160,82160,0,0,25713,False,False,Soft (S),-198.8672790527344,-8.072537422180176,338.2099914550781,0,1.0
77.902,1757772997,311.39,11041,1.0,0.0,0.003,8,1,975,0:00.975,82160,82160,0,0,25713,False,False,Soft (S),-197.9566650390625,-8.026373863220215,329.4395446777344,0,1.0
86.59,1757772997,311.76,11049,1.0,0.0,-0.0,8,1,1074,0:01.074,82160,82160,0,0,25713,False,False,Soft (S),-197.0658416748047,-7.9811692237854,320.91802978515625,0,1.0
95.366,1757772998,312.09,11069,1.0,0.0,0.001,8,1,1176,0:01.176,82160,82160,0,0,25713,False,False,Soft (S),-196.14376831054688,-7.935877323150635,312.1285705566406,0,1.0
104.195,1757772998,312.44,11072,1.0,0.0,0.001,8,1,1275,0:01.275,82160,82160,0,0,25713,False,False,Soft (S),-195.2447662353516,-7.897223949432373,303.5884094238281,0,1.0
112.68,1757772998,312.77,11098,1.0,0.0,0.001,8,1,1374,0:01.374,82160,82160,0,0,25713,False,False,Soft (S),-194.34030151367188,-7.848221302032471,295.03936767578125,0,1.0
121.382,1757772998,313.11,11099,1.0,0.0,0.002,8,1,1476,0:01.476,82160,82160,0,0,25713,False,False,Soft (S),-193.3997039794922,-7.800680160522461,286.22271728515625,0,1.0
130.191,1757772998,313.42,11125,1.0,0.0,0.0,8,1,1575,0:01.575,82160,82160,0,0,25713,False,False,Soft (S),-192.4800567626953,-7.750619411468506,277.65704345703125,0,1.0
138.879,1757772998,313.75,11131,1.0,0.0,-0.0,8,1,1677,0:01.677,82160,82160,0,0,25713,False,False,Soft (S),-191.52777099609372,-7.705506801605225,268.8229675292969,0,1.0
