Offset Dec,Offset Hex,type,python format pack,Field,Comment
0,0,int32,i,magic,0x47375330
1,1,,,,
2,2,,,,
3,3,,,,
4,4,float,f,position X,World position X
5,5,,,,
6,6,,,,
7,7,,,,
8,8,float,f,position Y,World position Y
9,9,,,,
10,A,,,,
11,B,,,,
12,C,float,f,position Z,World position Z
13,D,,,,
14,E,,,,
15,F,,,,
16,10,float,f,Velocity X,World velocity - side
17,11,,,,
18,12,,,,
19,13,,,,
20,14,float,f,Velocity Y,World velocity - up
21,15,,,,
22,16,,,,
23,17,,,,
24,18,float,f,Velocity Z,World velocity - forward
25,19,,,,
26,1A,,,,
27,1B,,,,
28,1C,float,f,Rotation X,Quaternion data x
29,1D,,,,
30,1E,,,,
31,1F,,,,
32,20,float,f,Rotation Y,Quaternion data y
33,21,,,,
34,22,,,,
35,23,,,,
36,24,float,f,Rotation Z,Quaternion data z
37,25,,,,
38,26,,,,
39,27,,,,
40,28,float,f,relative_orientation_north,Quaternion data w
41,29,,,,
42,2A,,,,
43,2B,,,,
44,2C,float,f,Angular Speed X,
45,2D,,,,
46,2E,,,,
47,2F,,,,
48,30,float,f,Angular Speed Y,
49,31,,,,
50,32,,,,
51,33,,,,
52,34,float,f,Angular Speed Z,
53,35,,,,
54,36,,,,
55,37,,,,
56,38,float,f,Body Height,
57,39,,,,
58,3A,,,,
59,3B,,,,
60,3C,float,f,RPM,
61,3D,,,,
62,3E,,,,
63,3F,,,,
64,40,char,c,pad,
65,41,char,c,pad,
66,42,char,c,pad,
67,43,char,c,pad,
68,44,float,f,"Fuel Level
EV: Charge remaining",
69,45,,,,
70,46,,,,
71,47,,,,
72,48,float,f,"Max Fuel Level
EV: max batt capacity",
73,49,,,,
74,4A,,,,
75,4B,,,,
76,4C,float,f,Speed,
77,4D,,,,
78,4E,,,,
79,4F,,,,
80,50,float,f,Boost,
81,51,,,,
82,52,,,,
83,53,,,,
84,54,float,f,Oil Pressure,
85,55,,,,
86,56,,,,
87,57,,,,
88,58,float,f,Water Temperature,
89,59,,,,
90,5A,,,,
91,5B,,,,
92,5C,float,f,Oil Temperature,
93,5D,,,,
94,5E,,,,
95,5F,,,,
96,60,float,f,Tire Temperature FL,
97,61,,,,
98,62,,,,
99,63,,,,
100,64,float,f,Tire Temperature FR,
101,65,,,,
102,66,,,,
103,67,,,,
104,68,float,f,Tire Temperature RL,
105,69,,,,
106,6A,,,,
107,6B,,,,
108,6C,float,f,Tire Temperature RR,
109,6D,,,,
110,6E,,,,
111,6F,,,,
112,70,int32,i,Packet ID,
113,71,,,,
114,72,,,,
115,73,,,,
116,74,int16,h,Current Lap,
117,75,,,,
118,76,int16,h,Laps in race,
119,77,,,,
120,78,int32,i,Best Lap Time,
121,79,,,,
122,7A,,,,
123,7B,,,,
124,7C,int32,i,Last Lap Time,
125,7D,,,,
126,7E,,,,
127,7F,,,,
128,80,int32,i,Time Of Day Progression,
129,81,,,,
130,82,,,,
131,83,,,,
132,84,int16,h,"PreRaceStartPosition
QualiPos ",
133,85,,,,
134,86,int16,h,NumCarsAtPreRace,
135,87,,,,
136,88,int16,h,MinAlertRPM,
137,89,,,,
138,8A,int16,h,MaxAlertRPM / RevLimiter,
139,8B,,,,
140,8C,int16,h,Calculated Max Speed,
141,8D,,,,
142,8E,int16,h,Flags,"CarOnTrack = 1 << 0
Paused = 1 << 1
LoadingOrProcessing = 1 << 2
InGear = 1 << 3
HasTurbo = 1 << 4
RevLimiterBlinkAlertActive = 1 << 5
HandBrakeActive = 1 << 6
LightsActive = 1 << 7
HighBeamActive = 1 << 8
LowBeamActive = 1 << 9
ASMActive = 1 << 10
TCSActive = 1 << 11"
143,8F,,,,
144,90,byte,B,Suggested Gear | Current Gear,"CurrentGear = (byte)(bits & 0b1111); // 4 bits
SuggestedGear = (byte)(bits >> 4); // Also 4 bits"
145,91,byte,B,Throttle,
146,92,byte,B,Brake,
147,93,char,c,pad,
148,94,float,f,Road Plane X,
149,95,,,,
150,96,,,,
151,97,,,,
152,98,float,f,Road Plane Y,
153,99,,,,
154,9A,,,,
155,9B,,,,
156,9C,float,f,Road Plane Z,
157,9D,,,,
158,9E,,,,
159,9F,,,,
160,A0,float,f,Road Plane Distance,
161,A1,,,,
162,A2,,,,
163,A3,,,,
164,A4,float,f,Wheel RevPerSecond FL,
165,A5,,,,
166,A6,,,,
167,A7,,,,
168,A8,float,f,Wheel RevPerSecond FR,
169,A9,,,,
170,AA,,,,
171,AB,,,,
172,AC,float,f,Wheel RevPerSecond RL,
173,AD,,,,
174,AE,,,,
175,AF,,,,
176,B0,float,f,Wheel RevPerSecond RR,
177,B1,,,,
178,B2,,,,
179,B3,,,,
180,B4,float,f,TireRadius FL,
181,B5,,,,
182,B6,,,,
183,B7,,,,
184,B8,float,f,TireRadius FR,
185,B9,,,,
186,BA,,,,
187,BB,,,,
188,BC,float,f,TireRadius RL,
189,BD,,,,
190,BE,,,,
191,BF,,,,
192,C0,float,f,TireRadius RR,
193,C1,,,,
194,C2,,,,
195,C3,,,,
196,C4,float,f,SuspHeight FL,
197,C5,,,,
198,C6,,,,
199,C7,,,,
200,C8,float,f,SuspHeight FR,
201,C9,,,,
202,CA,,,,
203,CB,,,,
204,CC,float,f,SuspHeight RL,
205,CD,,,,
206,CE,,,,
207,CF,,,,
208,D0,float,f,SuspHeight RR,
209,D1,,,,
210,D2,,,,
211,D3,,,,
212,D4,char,f,pad,
213,D5,char,,pad,
214,D6,char,,pad,
215,D7,char,,pad,
216,D8,char,f,pad,
217,D9,char,,pad,
218,DA,char,,pad,
219,DB,char,,pad,
220,DC,char,f,pad,
221,DD,char,,pad,
222,DE,char,,pad,
223,DF,char,,pad,
224,E0,char,f,pad,
225,E1,char,,pad,
226,E2,char,,pad,
227,E3,char,,pad,
228,E4,char,f,pad,
229,E5,char,,pad,
230,E6,char,,pad,
231,E7,char,,pad,
232,E8,char,f,pad,
233,E9,char,,pad,
234,EA,char,,pad,
235,EB,char,,pad,
236,EC,char,f,pad,
237,ED,char,,pad,
238,EE,char,,pad,
239,EF,char,,pad,
240,F0,char,f,pad,
241,F1,char,,pad,
242,F2,char,,pad,
243,F3,char,,pad,
244,F4,float,f,Clutch,
245,F5,,,,
246,F6,,,,
247,F7,,,,
248,F8,float,f,Clutch Engagement,
